Model,MAE,RMSE,R2
Linear Regression,0.1598531474232854,0.4925946436256148,0.08098449834047694
Decision Tree (CART),0.14441188611608577,0.4711776384240712,0.15916107356397846
Random Forest,0.13589607795050554,0.44328299033343294,0.25577269384018364
LightGBM,0.1378455808817084,0.44818802287070303,0.2392114639503592
PyTorch MLP,0.1724599304151114,0.49392701359513885,0.07600626870202243
